# Golden test: FY25 figures typed by hand from each company's annual report.
# Units: cr = Rs crore; pct = percent (e.g. 1.23); cr_shares = crore shares (paid-up shares / 1e7).
# ebitda = PBT - exceptional items + finance cost + depreciation - other income.
# debt = non-current + current borrowings; cash_like = cash + other bank balances + current investments;
# capex = purchase of PPE + purchase of intangibles (as a positive number).
# Balance-sheet fields are as at 31-Mar-2025. Fill 'expected' and 'source' (page number); leave blank to skip.
symbol,basis,period_end,field,expected,unit,source,note
KAYNES,consolidated,2025-03-31,revenue,,cr,,
KAYNES,consolidated,2025-03-31,other_income,,cr,,
KAYNES,consolidated,2025-03-31,ebitda,,cr,,
KAYNES,consolidated,2025-03-31,finance_cost,,cr,,
KAYNES,consolidated,2025-03-31,depreciation,,cr,,
KAYNES,consolidated,2025-03-31,pbt,,cr,,
KAYNES,consolidated,2025-03-31,pat,,cr,,
KAYNES,consolidated,2025-03-31,pat_owners,,cr,,
KAYNES,consolidated,2025-03-31,cfo,,cr,,
KAYNES,consolidated,2025-03-31,capex,,cr,,
KAYNES,consolidated,2025-03-31,debt,,cr,,
KAYNES,consolidated,2025-03-31,cash_like,,cr,,
KAYNES,consolidated,2025-03-31,equity_owners,,cr,,
KAYNES,consolidated,2025-03-31,shares,,cr_shares,,
NATCOPHARM,consolidated,2025-03-31,revenue,,cr,,
NATCOPHARM,consolidated,2025-03-31,other_income,,cr,,
NATCOPHARM,consolidated,2025-03-31,ebitda,,cr,,
NATCOPHARM,consolidated,2025-03-31,finance_cost,,cr,,
NATCOPHARM,consolidated,2025-03-31,depreciation,,cr,,
NATCOPHARM,consolidated,2025-03-31,pbt,,cr,,
NATCOPHARM,consolidated,2025-03-31,pat,,cr,,
NATCOPHARM,consolidated,2025-03-31,pat_owners,,cr,,
NATCOPHARM,consolidated,2025-03-31,cfo,,cr,,
NATCOPHARM,consolidated,2025-03-31,capex,,cr,,
NATCOPHARM,consolidated,2025-03-31,debt,,cr,,
NATCOPHARM,consolidated,2025-03-31,cash_like,,cr,,
NATCOPHARM,consolidated,2025-03-31,equity_owners,,cr,,
NATCOPHARM,consolidated,2025-03-31,shares,,cr_shares,,
CDSL,consolidated,2025-03-31,revenue,,cr,,
CDSL,consolidated,2025-03-31,other_income,,cr,,
CDSL,consolidated,2025-03-31,ebitda,,cr,,
CDSL,consolidated,2025-03-31,finance_cost,,cr,,
CDSL,consolidated,2025-03-31,depreciation,,cr,,
CDSL,consolidated,2025-03-31,pbt,,cr,,
CDSL,consolidated,2025-03-31,pat,,cr,,
CDSL,consolidated,2025-03-31,pat_owners,,cr,,
CDSL,consolidated,2025-03-31,cfo,,cr,,
CDSL,consolidated,2025-03-31,capex,,cr,,
CDSL,consolidated,2025-03-31,debt,,cr,,
CDSL,consolidated,2025-03-31,cash_like,,cr,,
CDSL,consolidated,2025-03-31,equity_owners,,cr,,
CDSL,consolidated,2025-03-31,shares,,cr_shares,,
KARURVYSYA,standalone,2025-03-31,interest_earned,,cr,,
KARURVYSYA,standalone,2025-03-31,interest_expended,,cr,,
KARURVYSYA,standalone,2025-03-31,nii,,cr,,
KARURVYSYA,standalone,2025-03-31,operating_profit_pre_provision,,cr,,
KARURVYSYA,standalone,2025-03-31,provisions,,cr,,
KARURVYSYA,standalone,2025-03-31,pat,,cr,,
KARURVYSYA,standalone,2025-03-31,advances,,cr,,
KARURVYSYA,standalone,2025-03-31,deposits,,cr,,
KARURVYSYA,standalone,2025-03-31,gross_npa_pct,,pct,,
KARURVYSYA,standalone,2025-03-31,net_npa_pct,,pct,,
KARURVYSYA,standalone,2025-03-31,shares,,cr_shares,,
MANAPPURAM,consolidated,2025-03-31,revenue,,cr,,
MANAPPURAM,consolidated,2025-03-31,interest_income,,cr,,
MANAPPURAM,consolidated,2025-03-31,finance_cost,,cr,,
MANAPPURAM,consolidated,2025-03-31,impairment_on_financial_instruments,,cr,,
MANAPPURAM,consolidated,2025-03-31,pbt,,cr,,
MANAPPURAM,consolidated,2025-03-31,pat,,cr,,
MANAPPURAM,consolidated,2025-03-31,pat_owners,,cr,,
MANAPPURAM,consolidated,2025-03-31,loans,,cr,,
MANAPPURAM,consolidated,2025-03-31,debt_securities,,cr,,
MANAPPURAM,consolidated,2025-03-31,borrowings_other_than_debt_securities,,cr,,
MANAPPURAM,consolidated,2025-03-31,equity_owners,,cr,,
MANAPPURAM,consolidated,2025-03-31,shares,,cr_shares,,
