Company Name,Industry,Symbol,Series,ISIN Code
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Aster DM Quality Care Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
CESC Ltd.,Power,CESC,EQ,INE486A01021
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
